x1,y1,z1,a1,e1,r1,time1,quality1,x2,y2,z2,a2,e2,r2,time2,quality2,x3,y3,z3,a3,e3,r3,time3,quality3,x4,y4,z4,a4,e4,r4,time4,quality4,x5,y5,z5,a5,e5,r5,time5,quality5,x6,y6,z6,a6,e6,r6,time6,quality6,x7,y7,z7,a7,e7,r7,time7,quality7,x8,y8,z8,a8,e8,r8,time8,quality8
-40.31754,-8.059043,45.72,179.3188,-26.47705,170.9473,00:00:00.1246669,3132,-22.91581,-6.93167,43.14155,-89.45068,-43.76953,-64.4458,00:00:00.1246669,7428,-25.77331,-7.277696,44.90517,-120.1025,-35.52979,100.8325,00:00:00.1246669,6568,-23.55205,-7.913936,40.90913,-112.9395,-41.2207,-40.23193,00:00:00.1246669,8684,-26.25328,-7.199561,45.32933,-133.9673,-42.1875,36.82617,00:00:00.1246669,6424,-14.26518,-5.715,26.83371,-31.70654,-27.75146,-113.1372,00:00:00.1246669,22476,-31.62226,-7.947422,44.28009,-150.0732,-24.93896,154.4678,00:00:00.1246669,6640,-22.55862,-10.90538,38.40882,-82.55127,-16.12793,8.371582,00:00:00.1246669,10944
-40.29522,-8.04788,45.70884,179.3628,-26.54297,170.9692,00:00:00.1376320,3104,-22.90465,-6.93167,43.0969,-89.40674,-43.83545,-64.55566,00:00:00.1376320,7424,-25.76215,-7.233047,44.894,-120.3003,-35.70557,100.7666,00:00:00.1376320,6548,-23.47392,-7.902773,40.86448,-112.9175,-41.48438,-40.47363,00:00:00.1376320,8676,-26.20863,-7.233047,45.29584,-133.9893,-42.40723,36.73828,00:00:00.1376320,6420,-14.1982,-5.625703,26.87836,-31.48682,-27.75146,-113.4668,00:00:00.1376320,22368,-31.59993,-7.947422,44.2466,-150.1392,-25.11475,154.4019,00:00:00.1376320,6620,-22.49165,-10.95003,38.33068,-82.44141,-16.08398,8.239746,00:00:00.1376320,11008
-40.28405,-8.025557,45.68652,179.3628,-26.58691,170.9912,00:00:00.1476045,3092,-22.88232,-6.93167,43.05225,-89.40674,-43.85742,-64.59961,00:00:00.1476045,7420,-25.76215,-7.210722,44.78238,-120.4321,-35.72754,100.8105,00:00:00.1476045,6536,-23.39578,-7.880449,40.78635,-112.9395,-41.63818,-40.64941,00:00:00.1476045,8664,-26.17515,-7.221885,45.22887,-134.165,-42.58301,36.71631,00:00:00.1476045,6416,-14.18704,-5.625703,26.85604,-31.48682,-27.72949,-113.291,00:00:00.1476045,22272,-31.57761,-7.880449,44.16846,-150.4028,-25.29053,154.4019,00:00:00.1476045,6604,-22.43584,-10.98352,38.27487,-82.39746,-16.01807,8.173828,00:00:00.1476045,11068
-40.25057,-7.969747,45.65303,179.3188,-26.65283,171.0352,00:00:00.1595729,3076,-22.88232,-6.920508,42.99644,-89.49463,-43.87939,-64.59961,00:00:00.1595729,7416,-25.7175,-7.277696,44.72657,-120.3442,-35.88135,100.6128,00:00:00.1595729,6544,-23.3623,-7.880449,40.75286,-112.9395,-41.66016,-40.7373,00:00:00.1595729,8656,-26.17515,-7.210722,45.18422,-134.2969,-42.6709,36.71631,00:00:00.1595729,6416,-14.20937,-5.692676,26.83371,-31.57471,-27.72949,-112.9395,00:00:00.1595729,22220,-31.58877,-7.791152,44.09033,-150.7544,-25.42236,154.4019,00:00:00.1595729,6600,-22.41352,-10.99468,38.23022,-82.41943,-15.99609,8.129883,00:00:00.1595729,11120
-40.21708,-7.913936,45.6307,179.2529,-26.69678,171.1011,00:00:00.1715404,3068,-22.91581,-6.898183,42.9518,-89.64844,-43.90137,-64.51172,00:00:00.1715404,7416,-25.85145,-7.199561,44.61495,-120.9155,-35.77148,100.9424,00:00:00.1715404,6548,-23.3623,-7.858125,40.70821,-113.0273,-41.68213,-40.78125,00:00:00.1715404,8652,-26.19747,-7.166074,45.13957,-134.5825,-42.75879,36.78223,00:00:00.1715404,6420,-14.25401,-5.781972,26.78906,-31.70654,-27.70752,-112.522,00:00:00.1715404,22156,-31.61109,-7.701856,44.04568,-151.04,-25.48828,154.4458,00:00:00.1715404,6600,-22.41352,-10.96119,38.23022,-82.46338,-16.04004,8.085938,00:00:00.1715404,11152
-40.17243,-7.869287,45.61954,179.231,-26.78467,171.123,00:00:00.1815145,3068,-22.92697,-6.875859,42.92947,-89.73633,-43.90137,-64.51172,00:00:00.1815145,7412,-25.85145,-7.188399,44.53682,-120.9595,-35.79346,100.8325,00:00:00.1815145,6548,-23.37346,-7.835801,40.70821,-113.0493,-41.63818,-40.8252,00:00:00.1815145,8652,-26.23096,-7.132588,45.13957,-134.7363,-42.80273,36.73828,00:00:00.1815145,6428,-14.2875,-5.87127,26.74442,-31.88232,-27.66357,-111.9946,00:00:00.1815145,22104,-31.62226,-7.623721,44.03452,-151.3257,-25.59814,154.3799,00:00:00.1815145,6600,-22.41352,-10.91654,38.25255,-82.5293,-16.10596,7.998047,00:00:00.1815145,11196
-40.13895,-7.858125,45.6307,179.2529,-26.87256,171.123,00:00:00.1924865,3076,-22.93814,-6.875859,42.92947,-89.7583,-43.85742,-64.51172,00:00:00.1924865,7408,-25.85145,-7.255371,44.58146,-120.7617,-35.72754,100.6787,00:00:00.1924865,6564,-23.38462,-7.846963,40.71938,-112.9834,-41.57227,-40.86914,00:00:00.1924865,8648,-26.24212,-7.132588,45.15073,-134.7144,-42.80273,36.62842,00:00:00.1924865,6436,-14.34331,-6.005215,26.6886,-32.12402,-27.59766,-111.2476,00:00:00.1924865,22088,-31.61109,-7.612559,44.05685,-151.3477,-25.66406,154.2261,00:00:00.1924865,6600,-22.41352,-10.89422,38.28603,-82.55127,-16.12793,7.954102,00:00:00.1924865,11224
-40.08314,-7.869287,45.65303,179.3408,-27.00439,171.1011,00:00:00.2034575,3092,-22.93814,-6.875859,42.92947,-89.73633,-43.81348,-64.53369,00:00:00.2034575,7404,-25.84028,-7.188399,44.64844,-120.8496,-35.77148,100.5469,00:00:00.2034575,6576,-23.38462,-7.846963,40.73054,-112.9395,-41.50635,-40.89111,00:00:00.2034575,8648,-26.25328,-7.121426,45.18422,-134.6265,-42.78076,36.51855,00:00:00.2034575,6444,-14.7005,-6.864697,26.35374,-33.81592,-26.9165,-105.9082,00:00:00.2034575,22160,-31.59993,-7.623721,44.07917,-151.3037,-25.68604,154.1382,00:00:00.2034575,6604,-22.42468,-10.87189,38.30836,-82.55127,-16.1499,7.932129,00:00:00.2034575,11244
-40.04965,-7.902773,45.66419,179.4287,-27.07031,171.0571,00:00:00.2144264,3108,-22.92697,-6.887022,42.94064,-89.67041,-43.74756,-64.57764,00:00:00.2144264,7404,-25.81796,-7.188399,44.63728,-120.7397,-35.74951,100.459,00:00:00.2144264,6584,-23.38462,-7.846963,40.7417,-112.8516,-41.44043,-40.93506,00:00:00.2144264,8648,-26.24212,-7.132588,45.20654,-134.5166,-42.73682,36.40869,00:00:00.2144264,6452,-15.05769,-7.99207,25.88493,-35.22217,-25.83984,-100.8984,00:00:00.2144264,22276,-31.56645,-7.668369,44.10149,-151.1279,-25.64209,154.0063,00:00:00.2144264,6608,-22.41352,-10.84957,38.33068,-82.55127,-16.1499,7.910156,00:00:00.2144264,11264
-40.01616,-7.947422,45.68652,179.6045,-27.1582,170.9692,00:00:00.2253977,3128,-22.91581,-6.898183,42.94064,-89.62646,-43.65967,-64.57764,00:00:00.2253977,7404,-25.78447,-7.199561,44.67076,-120.5859,-35.72754,100.3711,00:00:00.2253977,6596,-23.37346,-7.891612,40.77518,-112.5659,-41.11084,-41.04492,00:00:00.2253977,8652,-26.24212,-7.132588,45.20654,-134.4727,-42.71484,36.38672,00:00:00.2253977,6452,-15.18047,-8.527852,25.65053,-35.63965,-25.3125,-98.94287,00:00:00.2253977,22332,-31.55528,-7.690694,44.10149,-151.062,-25.62012,153.9844,00:00:00.2253977,6612,-22.41352,-10.80492,38.37533,-82.5293,-16.1499,7.844238,00:00:00.2253977,11272
