
00:00:01.4962946,1
00:00:01.5322038,2
00:00:01.5950304,3
00:00:01.6718245,4
00:00:02.1087000,4
00:00:02.2981999,4
00:00:02.5784161,3
00:00:03.2008242,4
00:00:03.4730969,3
00:00:03.7054753,2
00:00:03.8730265,1
00:00:03.9857664,2
00:00:04.0395817,3
00:00:04.1074003,4
00:00:04.4296624,4
00:00:04.6338474,4
00:00:04.8239843,4
00:00:05.0125011,4
00:00:05.1655789,4
00:00:05.3889797,4
00:00:07.2501600,4
00:00:07.5265189,3
00:00:07.6931040,2
00:00:07.7718933,1
00:00:08.0410383,2
00:00:08.1078508,3
00:00:08.2305106,4
00:00:08.6543768,4
00:00:08.8099607,4
00:00:08.9465953,4
00:00:09.2911619,4
00:00:09.5154033,3
00:00:09.6809403,2
00:00:09.8085991,1
00:00:09.9931369,2
00:00:21.2538806,4
00:00:21.5451078,3
00:00:21.7681799,2
00:00:21.9447036,1
00:00:22.0999572,2
00:00:22.1822872,3
00:00:22.2820191,4
00:00:22.5941851,4
00:00:22.6081794,3
00:00:22.6699819,1
00:00:22.8564836,4
00:00:22.9841443,1
00:00:23.0370010,4
00:00:23.1756092,1
00:00:23.1995458,4
00:00:23.3234679,4
00:00:23.3513938,2
00:00:23.4670963,4
00:00:23.4880280,3
00:00:23.9770395,4
00:00:24.0677967,3
00:00:24.1366463,2
00:00:24.1615454,1
00:00:24.5235787,1
00:00:24.5594821,2
00:00:24.6153322,3
00:00:24.6722547,4
00:00:24.9720283,1
00:00:24.9860046,2
00:00:25.0378900,3
00:00:25.1192755,4
00:00:26.3828223,1
00:00:26.7169695,2
00:00:26.9742687,3
00:00:27.1507890,4
00:00:27.4184297,4
00:00:27.5520730,4
00:00:27.8093853,1
00:00:27.9680123,1
00:00:28.2263072,3
00:00:28.4456841,3
00:00:28.6262015,2
00:00:28.8184546,2
00:00:29.0707408,4
00:00:29.3436750,1
00:00:29.3845960,2
00:00:29.4643534,3
00:00:29.5062402,4
00:00:29.7226932,1
00:00:29.7645511,2
00:00:29.8084319,3
00:00:29.8423421,4
00:00:30.0098945,1
